ICD-10-WHO_Code,Description,Last_Updated
P525,Subarachnoid (nontraumatic) haemorrhage of fetus and newborn,2020-10-13
P526,Cerebellar (nontraumatic) and posterior fossa haemorrhage of fetus and newborn,2020-10-13
P528,Other intracranial (nontraumatic) haemorrhages of fetus and newborn,2020-10-13
P529,"Intracranial (nontraumatic) haemorrhage of fetus and newborn, unspecified",2020-10-13
P53,,2020-10-13
P54,,2020-10-13
P540,Neonatal haematemesis,2020-10-13
P541,Neonatal melaena,2020-10-13
P542,Neonatal rectal haemorrhage,2020-10-13
P543,Other neonatal gastrointestinal haemorrhage,2020-10-13
P544,Neonatal adrenal haemorrhage,2020-10-13
P545,Neonatal cutaneous haemorrhage,2020-10-13
P546,Neonatal vaginal haemorrhage,2020-10-13
P548,Other specified neonatal haemorrhages,2020-10-13
P549,"Neonatal haemorrhage, unspecified",2020-10-13
P55,,2020-10-13
P550,Rh isoimmunization of fetus and newborn,2020-10-13
P551,ABO isoimmunization of fetus and newborn,2020-10-13
P558,Other haemolytic diseases of fetus and newborn,2020-10-13
P559,"Haemolytic disease of fetus and newborn, unspecified",2020-10-13
P56,,2020-10-13
P560,Hydrops fetalis due to isoimmunization,2020-10-13
P569,Hydrops fetalis due to other and unspecified haemolytic disease,2020-10-13
P57,,2020-10-13
P570,Kernicterus due to isoimmunization,2020-10-13
P578,Other specified kernicterus,2020-10-13
P579,"Kernicterus, unspecified",2020-10-13
P58,,2020-10-13
P580,Neonatal jaundice due to bruising,2020-10-13
P581,Neonatal jaundice due to bleeding,2020-10-13
P582,Neonatal jaundice due to infection,2020-10-13
P583,Neonatal jaundice due to polycythaemia,2020-10-13
P584,Neonatal jaundice due to drugs or toxins transmitted from mother or given to newborn,2020-10-13
P585,Neonatal jaundice due to swallowed maternal blood,2020-10-13
P588,Neonatal jaundice due to other specified excessive haemolysis,2020-10-13
P589,"Neonatal jaundice due to excessive haemolysis, unspecified",2020-10-13
P59,,2020-10-13
P590,Neonatal jaundice associated with preterm delivery,2020-10-13
P591,Inspissated bile syndrome,2020-10-13
P592,Neonatal jaundice from other and unspecified hepatocellular damage,2020-10-13
P593,Neonatal jaundice from breast milk inhibitor,2020-10-13
P598,Neonatal jaundice from other specified causes,2020-10-13
P599,"Neonatal jaundice, unspecified",2020-10-13
P60,,2020-10-13
P61,,2020-10-13
P610,Transient neonatal thrombocytopenia,2020-10-13
P611,Polycythaemia neonatorum,2020-10-13
P612,Anaemia of prematurity,2020-10-13
P613,Congenital anaemia from fetal blood loss,2020-10-13
P614,"Other congenital anaemias, not elsewhere classified",2020-10-13
P615,Transient neonatal neutropenia,2020-10-13
P616,Other transient neonatal disorders of coagulation,2020-10-13
P618,Other specified perinatal haematological disorders,2020-10-13
P619,"Perinatal haematological disorder, unspecified",2020-10-13
P70,,2020-10-13
P700,Syndrome of infant of mother with gestational diabetes,2020-10-13
P701,Syndrome of infant of a diabetic mother,2020-10-13
P702,Neonatal diabetes mellitus,2020-10-13
P703,Iatrogenic neonatal hypoglycaemia,2020-10-13
P704,Other neonatal hypoglycaemia,2020-10-13
P708,Other transitory disorders of carbohydrate metabolism of fetus and newborn,2020-10-13
P709,"Transitory disorder of carbohydrate metabolism of fetus and newborn, unspecified",2020-10-13
P71,,2020-10-13
P710,Cow milk hypocalcaemia in newborn,2020-10-13
P711,Other neonatal hypocalcaemia,2020-10-13
P712,Neonatal hypomagnesaemia,2020-10-13
P713,Neonatal tetany without calcium or magnesium deficiency,2020-10-13
P714,Transitory neonatal hypoparathyroidism,2020-10-13
P718,Other transitory neonatal disorders of calcium and magnesium metabolism,2020-10-13
P719,"Transitory neonatal disorder of calcium and magnesium metabolism, unspecified",2020-10-13
P72,,2020-10-13
P720,"Neonatal goitre, not elsewhere classified",2020-10-13
P721,Transitory neonatal hyperthyroidism,2020-10-13
P722,"Other transitory neonatal disorders of thyroid function, not elsewhere classified",2020-10-13
P728,Other specified transitory neonatal endocrine disorders,2020-10-13
P729,"Transitory neonatal endocrine disorder, unspecified",2020-10-13
P74,,2020-10-13
P740,Late metabolic acidosis of newborn,2020-10-13
P741,Dehydration of newborn,2020-10-13
P742,Disturbances of sodium balance of newborn,2020-10-13
P743,Disturbances of potassium balance of newborn,2020-10-13
P744,Other transitory electrolyte disturbances of newborn,2020-10-13
P745,Transitory tyrosinaemia of newborn,2020-10-13
P748,Other transitory metabolic disturbances of newborn,2020-10-13
P749,"Transitory metabolic disturbance of newborn, unspecified",2020-10-13
P75,,2020-10-13
P76,,2020-10-13
P760,Meconium plug syndrome,2020-10-13
P761,Transitory ileus of newborn,2020-10-13
P762,Intestinal obstruction due to inspissated milk,2020-10-13
P768,Other specified intestinal obstruction of newborn,2020-10-13
P769,"Intestinal obstruction of newborn, unspecified",2020-10-13
P77,,2020-10-13
P78,,2020-10-13
P780,Perinatal intestinal perforation,2020-10-13
P781,Other neonatal peritonitis,2020-10-13
P782,Neonatal haematemesis and melaena due to swallowed maternal blood,2020-10-13
P783,Noninfective neonatal diarrhoea,2020-10-13
P788,Other specified perinatal digestive system disorders,2020-10-13
P789,"Perinatal digestive system disorder, unspecified",2020-10-13
P80,,2020-10-13
P800,Cold injury syndrome,2020-10-13
P808,Other hypothermia of newborn,2020-10-13
P809,"Hypothermia of newborn, unspecified",2020-10-13
P81,,2020-10-13
P810,Environmental hyperthermia of newborn,2020-10-13
P818,Other specified disturbances of temperature regulation of newborn,2020-10-13
P819,"Disturbance of temperature regulation of newborn, unspecified",2020-10-13
P83,,2020-10-13
P830,Sclerema neonatorum,2020-10-13
P831,Neonatal erythema toxicum,2020-10-13
P832,Hydrops fetalis not due to haemolytic disease,2020-10-13
P833,Other and unspecified oedema specific to fetus and newborn,2020-10-13
P834,Breast engorgement of newborn,2020-10-13
P835,Congenital hydrocele,2020-10-13
P836,Umbilical polyp of newborn,2020-10-13
P838,Other specified conditions of integument specific to fetus and newborn,2020-10-13
P839,"Condition of integument specific to fetus and newborn, unspecified",2020-10-13
P90,,2020-10-13
P91,,2020-10-13
P910,Neonatal cerebral ischaemia,2020-10-13
P911,Acquired periventricular cysts of newborn,2020-10-13
P912,Neonatal cerebral leukomalacia,2020-10-13
P913,Neonatal cerebral irritability,2020-10-13
P914,Neonatal cerebral depression,2020-10-13
P915,Neonatal coma,2020-10-13
P916,Hypoxic ischaemic encephalopathy of newborn,2020-10-13
P917,Acquired hydrocephalus of newborn,2020-10-13
P918,Other specified disturbances of cerebral status of newborn,2020-10-13
P919,"Disturbance of cerebral status of newborn, unspecified",2020-10-13
P92,,2020-10-13
P920,Vomiting in newborn,2020-10-13
P921,Regurgitation and rumination in newborn,2020-10-13
P922,Slow feeding of newborn,2020-10-13
P923,Underfeeding of newborn,2020-10-13
P924,Overfeeding of newborn,2020-10-13
P925,Neonatal difficulty in feeding at breast,2020-10-13
P928,Other feeding problems of newborn,2020-10-13
P929,"Feeding problem of newborn, unspecified",2020-10-13
P93,,2020-10-13
P94,,2020-10-13
P940,Transient neonatal myasthenia gravis,2020-10-13
P941,Congenital hypertonia,2020-10-13
P942,Congenital hypotonia,2020-10-13
P948,Other disorders of muscle tone of newborn,2020-10-13
P949,"Disorder of muscle tone of newborn, unspecified",2020-10-13
P95,,2020-10-13
P96,,2020-10-13
P960,Congenital renal failure,2020-10-13
P961,Neonatal withdrawal symptoms from maternal use of drugs of addiction,2020-10-13
P962,Withdrawal symptoms from therapeutic use of drugs in newborn,2020-10-13
P963,Wide cranial sutures of newborn,2020-10-13
P964,"Termination of pregnancy, affecting fetus and newborn",2020-10-13
P965,"Complications of intrauterine procedures, not elsewhere classified",2020-10-13
P968,Other specified conditions originating in the perinatal period,2020-10-13
P969,"Condition originating in the perinatal period, unspecified",2020-10-13
Q00,,2020-10-13
Q000,Anencephaly,2020-10-13
Q001,Craniorachischisis,2020-10-13
Q002,Iniencephaly,2020-10-13
Q01,,2020-10-13
Q010,Frontal encephalocele,2020-10-13
Q011,Nasofrontal encephalocele,2020-10-13
Q012,Occipital encephalocele,2020-10-13
Q018,Encephalocele of other sites,2020-10-13
Q019,"Encephalocele, unspecified",2020-10-13
Q02,,2020-10-13
Q03,,2020-10-13
Q030,Malformations of aqueduct of Sylvius,2020-10-13
Q031,Atresia of foramina of Magendie and Luschka,2020-10-13
Q038,Other congenital hydrocephalus,2020-10-13
Q039,"Congenital hydrocephalus, unspecified",2020-10-13
Q04,,2020-10-13
Q040,Congenital malformations of corpus callosum,2020-10-13
Q041,Arhinencephaly,2020-10-13
Q042,Holoprosencephaly,2020-10-13
Q043,Other reduction deformities of brain,2020-10-13
Q044,Septo-optic dysplasia,2020-10-13
Q045,Megalencephaly,2020-10-13
Q046,Congenital cerebral cysts,2020-10-13
Q048,Other specified congenital malformations of brain,2020-10-13
Q049,"Congenital malformation of brain, unspecified",2020-10-13
Q05,,2020-10-13
Q050,Cervical spina bifida with hydrocephalus,2020-10-13
Q051,Thoracic spina bifida with hydrocephalus,2020-10-13
Q052,Lumbar spina bifida with hydrocephalus,2020-10-13
Q053,Sacral spina bifida with hydrocephalus,2020-10-13
Q054,Unspecified spina bifida with hydrocephalus,2020-10-13
Q055,Cervical spina bifida without hydrocephalus,2020-10-13
Q056,Thoracic spina bifida without hydrocephalus,2020-10-13
Q057,Lumbar spina bifida without hydrocephalus,2020-10-13
Q058,Sacral spina bifida without hydrocephalus,2020-10-13
Q059,"Spina bifida, unspecified",2020-10-13
Q06,,2020-10-13
Q060,Amyelia,2020-10-13
Q061,Hypoplasia and dysplasia of spinal cord,2020-10-13
Q062,Diastematomyelia,2020-10-13
Q063,Other congenital cauda equina malformations,2020-10-13
Q064,Hydromyelia,2020-10-13
Q068,Other specified congenital malformations of spinal cord,2020-10-13
Q069,"Congenital malformation of spinal cord, unspecified",2020-10-13
Q07,,2020-10-13
Q070,Arnold-Chiari syndrome,2020-10-13
Q078,Other specified congenital malformations of nervous system,2020-10-13
Q079,"Congenital malformation of nervous system, unspecified",2020-10-13
Q10,,2020-10-13
Q100,Congenital ptosis,2020-10-13
Q101,Congenital ectropion,2020-10-13
Q102,Congenital entropion,2020-10-13
Q103,Other congenital malformations of eyelid,2020-10-13
Q104,Absence and agenesis of lacrimal apparatus,2020-10-13
Q105,Congenital stenosis and stricture of lacrimal duct,2020-10-13
Q106,Other congenital malformations of lacrimal apparatus,2020-10-13
Q107,Congenital malformation of orbit,2020-10-13
Q11,,2020-10-13
Q110,Cystic eyeball,2020-10-13
Q111,Other anophthalmos,2020-10-13
Q112,Microphthalmos,2020-10-13
Q113,Macrophthalmos,2020-10-13
Q12,,2020-10-13
Q120,Congenital cataract,2020-10-13
Q121,Congenital displaced lens,2020-10-13
Q122,Coloboma of lens,2020-10-13
Q123,Congenital aphakia,2020-10-13
Q124,Spherophakia,2020-10-13
Q128,Other congenital lens malformations,2020-10-13
Q129,"Congenital lens malformation, unspecified",2020-10-13
Q13,,2020-10-13
Q130,Coloboma of iris,2020-10-13
Q131,Absence of iris,2020-10-13
Q132,Other congenital malformations of iris,2020-10-13
Q133,Congenital corneal opacity,2020-10-13
Q134,Other congenital corneal malformations,2020-10-13
Q135,Blue sclera,2020-10-13
Q138,Other congenital malformations of anterior segment of eye,2020-10-13
Q139,"Congenital malformation of anterior segment of eye, unspecified",2020-10-13
Q14,,2020-10-13
Q140,Congenital malformation of vitreous humour,2020-10-13
Q141,Congenital malformation of retina,2020-10-13
Q142,Congenital malformation of optic disc,2020-10-13
Q143,Congenital malformation of choroid,2020-10-13
Q148,Other congenital malformations of posterior segment of eye,2020-10-13
Q149,"Congenital malformation of posterior segment of eye, unspecified",2020-10-13
Q15,,2020-10-13
Q150,Congenital glaucoma,2020-10-13
Q158,Other specified congenital malformations of eye,2020-10-13
Q159,"Congenital malformation of eye, unspecified",2020-10-13
Q16,,2020-10-13
Q160,Congenital absence of (ear) auricle,2020-10-13
Q161,"Congenital absence, atresia and stricture of auditory canal (external)",2020-10-13
Q162,Absence of eustachian tube,2020-10-13
Q163,Congenital malformation of ear ossicles,2020-10-13
Q164,Other congenital malformations of middle ear,2020-10-13
Q165,Congenital malformation of inner ear,2020-10-13
Q169,"Congenital malformation of ear causing impairment of hearing, unspecified",2020-10-13
Q17,,2020-10-13
Q170,Accessory auricle,2020-10-13
Q171,Macrotia,2020-10-13
Q172,Microtia,2020-10-13
Q173,Other misshapen ear,2020-10-13
Q174,Misplaced ear,2020-10-13
Q175,Prominent ear,2020-10-13
Q178,Other specified congenital malformations of ear,2020-10-13
Q179,"Congenital malformation of ear, unspecified",2020-10-13
Q18,,2020-10-13
Q180,"Sinus, fistula and cyst of branchial cleft",2020-10-13
Q181,Preauricular sinus and cyst,2020-10-13
Q182,Other branchial cleft malformations,2020-10-13
Q183,Webbing of neck,2020-10-13
Q184,Macrostomia,2020-10-13
Q185,Microstomia,2020-10-13
Q186,Macrocheilia,2020-10-13
Q187,Microcheilia,2020-10-13
Q188,Other specified congenital malformations of face and neck,2020-10-13
Q189,"Congenital malformation of face and neck, unspecified",2020-10-13
Q20,,2020-10-13
Q200,Common arterial trunk,2020-10-13
Q201,Double outlet right ventricle,2020-10-13
Q202,Double outlet left ventricle,2020-10-13
Q203,Discordant ventriculoarterial connection,2020-10-13
Q204,Double inlet ventricle,2020-10-13
Q205,Discordant atrioventricular connection,2020-10-13
Q206,Isomerism of atrial appendages,2020-10-13
Q208,Other congenital malformations of cardiac chambers and connections,2020-10-13
Q209,"Congenital malformation of cardiac chambers and connections, unspecified",2020-10-13
Q21,,2020-10-13
Q210,Ventricular septal defect,2020-10-13
Q211,Atrial septal defect,2020-10-13
Q212,Atrioventricular septal defect,2020-10-13
Q213,Tetralogy of Fallot,2020-10-13
Q214,Aortopulmonary septal defect,2020-10-13
Q218,Other congenital malformations of cardiac septa,2020-10-13
Q219,"Congenital malformation of cardiac septum, unspecified",2020-10-13
Q22,,2020-10-13
Q220,Pulmonary valve atresia,2020-10-13
Q221,Congenital pulmonary valve stenosis,2020-10-13
Q222,Congenital pulmonary valve insufficiency,2020-10-13
Q223,Other congenital malformations of pulmonary valve,2020-10-13
Q224,Congenital tricuspid stenosis,2020-10-13
Q225,Ebstein anomaly,2020-10-13
Q226,Hypoplastic right heart syndrome,2020-10-13
Q228,Other congenital malformations of tricuspid valve,2020-10-13
Q229,"Congenital malformation of tricuspid valve, unspecified",2020-10-13
Q23,,2020-10-13
Q230,Congenital stenosis of aortic valve,2020-10-13
Q231,Congenital insufficiency of aortic valve,2020-10-13
Q232,Congenital mitral stenosis,2020-10-13
Q233,Congenital mitral insufficiency,2020-10-13
Q234,Hypoplastic left heart syndrome,2020-10-13
Q238,Other congenital malformations of aortic and mitral valves,2020-10-13
Q239,"Congenital malformation of aortic and mitral valves, unspecified",2020-10-13
Q24,,2020-10-13
Q240,Dextrocardia,2020-10-13
Q241,Laevocardia,2020-10-13
Q242,Cor triatriatum,2020-10-13
Q243,Pulmonary infundibular stenosis,2020-10-13
Q244,Congenital subaortic stenosis,2020-10-13
Q245,Malformation of coronary vessels,2020-10-13
Q246,Congenital heart block,2020-10-13
Q248,Other specified congenital malformations of heart,2020-10-13
Q249,"Congenital malformation of heart, unspecified",2020-10-13
Q25,,2020-10-13
Q250,Patent ductus arteriosus,2020-10-13
Q251,Coarctation of aorta,2020-10-13
Q252,Atresia of aorta,2020-10-13
Q253,Stenosis of aorta,2020-10-13
Q254,Other congenital malformations of aorta,2020-10-13
Q255,Atresia of pulmonary artery,2020-10-13
Q256,Stenosis of pulmonary artery,2020-10-13
Q257,Other congenital malformations of pulmonary artery,2020-10-13
Q258,Other congenital malformations of great arteries,2020-10-13
Q259,"Congenital malformation of great arteries, unspecified",2020-10-13
Q26,,2020-10-13
Q260,Congenital stenosis of vena cava,2020-10-13
Q261,Persistent left superior vena cava,2020-10-13
Q262,Total anomalous pulmonary venous connection,2020-10-13
Q263,Partial anomalous pulmonary venous connection,2020-10-13
Q264,"Anomalous pulmonary venous connection, unspecified",2020-10-13
Q265,Anomalous portal venous connection,2020-10-13
Q266,Portal vein-hepatic artery fistula,2020-10-13
Q268,Other congenital malformations of great veins,2020-10-13
Q269,"Congenital malformation of great vein, unspecified",2020-10-13
Q27,,2020-10-13
Q270,Congenital absence and hypoplasia of umbilical artery,2020-10-13
Q271,Congenital renal artery stenosis,2020-10-13
Q272,Other congenital malformations of renal artery,2020-10-13
Q273,Peripheral arteriovenous malformation,2020-10-13
Q274,Congenital phlebectasia,2020-10-13
Q278,Other specified congenital malformations of peripheral vascular system,2020-10-13
Q279,"Congenital malformation of peripheral vascular system, unspecified",2020-10-13
Q28,,2020-10-13
Q280,Arteriovenous malformation of precerebral vessels,2020-10-13
Q281,Other malformations of precerebral vessels,2020-10-13
Q282,Arteriovenous malformation of cerebral vessels,2020-10-13
Q283,Other malformations of cerebral vessels,2020-10-13
Q288,Other specified congenital malformations of circulatory system,2020-10-13
Q289,"Congenital malformation of circulatory system, unspecified",2020-10-13
Q30,,2020-10-13
Q300,Choanal atresia,2020-10-13
Q301,Agenesis and underdevelopment of nose,2020-10-13
Q302,"Fissured, notched and cleft nose",2020-10-13
Q303,Congenital perforated nasal septum,2020-10-13
Q308,Other congenital malformations of nose,2020-10-13
Q309,"Congenital malformation of nose, unspecified",2020-10-13
Q31,,2020-10-13
Q310,Web of larynx,2020-10-13
Q311,Congenital subglottic stenosis,2020-10-13
Q312,Laryngeal hypoplasia,2020-10-13
Q313,Laryngocele,2020-10-13
Q315,Congenital laryngomalacia,2020-10-13
Q318,Other congenital malformations of larynx,2020-10-13
Q319,"Congenital malformation of larynx, unspecified",2020-10-13
Q32,,2020-10-13
Q320,Congenital tracheomalacia,2020-10-13
Q321,Other congenital malformations of trachea,2020-10-13
Q322,Congenital bronchomalacia,2020-10-13
Q323,Congenital stenosis of bronchus,2020-10-13
Q324,Other congenital malformations of bronchus,2020-10-13
Q33,,2020-10-13
Q330,Congenital cystic lung,2020-10-13
Q331,Accessory lobe of lung,2020-10-13
Q332,Sequestration of lung,2020-10-13
Q333,Agenesis of lung,2020-10-13
Q334,Congenital bronchiectasis,2020-10-13
Q335,Ectopic tissue in lung,2020-10-13
Q336,Hypoplasia and dysplasia of lung,2020-10-13
Q338,Other congenital malformations of lung,2020-10-13
Q339,"Congenital malformation of lung, unspecified",2020-10-13
Q34,,2020-10-13
Q340,Anomaly of pleura,2020-10-13
Q341,Congenital cyst of mediastinum,2020-10-13
Q348,Other specified congenital malformations of respiratory system,2020-10-13
Q349,"Congenital malformation of respiratory system, unspecified",2020-10-13
Q35,,2020-10-13
Q351,Cleft hard palate,2020-10-13
Q353,Cleft soft palate,2020-10-13
Q355,Cleft hard palate with cleft soft palate,2020-10-13
Q357,Cleft uvula,2020-10-13
Q359,"Cleft palate, unspecified",2020-10-13
Q36,,2020-10-13
Q360,"Cleft lip, bilateral",2020-10-13
Q361,"Cleft lip, median",2020-10-13
Q369,"Cleft lip, unilateral",2020-10-13
Q37,,2020-10-13
Q370,Cleft hard palate with bilateral cleft lip,2020-10-13
Q371,Cleft hard palate with unilateral cleft lip,2020-10-13
Q372,Cleft soft palate with bilateral cleft lip,2020-10-13
Q373,Cleft soft palate with unilateral cleft lip,2020-10-13
Q374,Cleft hard and soft palate with bilateral cleft lip,2020-10-13
Q375,Cleft hard and soft palate with unilateral cleft lip,2020-10-13
Q378,Unspecified cleft palate with bilateral cleft lip,2020-10-13
Q379,Unspecified cleft palate with unilateral cleft lip,2020-10-13
Q38,,2020-10-13
Q380,"Congenital malformations of lips, not elsewhere classified",2020-10-13
Q381,Ankyloglossia,2020-10-13
Q382,Macroglossia,2020-10-13
Q383,Other congenital malformations of tongue,2020-10-13
Q384,Congenital malformations of salivary glands and ducts,2020-10-13
Q385,"Congenital malformations of palate, not elsewhere classified",2020-10-13
Q386,Other congenital malformations of mouth,2020-10-13
Q387,Pharyngeal pouch,2020-10-13
Q388,Other congenital malformations of pharynx,2020-10-13
Q39,,2020-10-13
Q390,Atresia of oesophagus without fistula,2020-10-13
Q391,Atresia of oesophagus with tracheo-oesophageal fistula,2020-10-13
Q392,Congenital tracheo-oesophageal fistula without atresia,2020-10-13
Q393,Congenital stenosis and stricture of oesophagus,2020-10-13
Q394,Congenital oesophageal web,2020-10-13
Q395,Congenital dilatation of oesophagus,2020-10-13
Q396,Diverticulum of oesophagus,2020-10-13
Q398,Other congenital malformations of oesophagus,2020-10-13
Q399,"Congenital malformation of oesophagus, unspecified",2020-10-13
Q40,,2020-10-13
Q400,Congenital hypertrophic pyloric stenosis,2020-10-13
Q401,Congenital hiatus hernia,2020-10-13
Q402,Other specified congenital malformations of stomach,2020-10-13
Q403,"Congenital malformation of stomach, unspecified",2020-10-13
Q408,Other specified congenital malformations of upper alimentary tract,2020-10-13
Q409,"Congenital malformation of upper alimentary tract, unspecified",2020-10-13
Q41,,2020-10-13
Q410,"Congenital absence, atresia and stenosis of duodenum",2020-10-13
Q411,"Congenital absence, atresia and stenosis of jejunum",2020-10-13
Q412,"Congenital absence, atresia and stenosis of ileum",2020-10-13
Q418,"Congenital absence, atresia and stenosis of other specified parts of small intestine",2020-10-13
Q419,"Congenital absence, atresia and stenosis of small intestine, part unspecified",2020-10-13
Q42,,2020-10-13
Q420,"Congenital absence, atresia and stenosis of rectum with fistula",2020-10-13
Q421,"Congenital absence, atresia and stenosis of rectum without fistula",2020-10-13
Q422,"Congenital absence, atresia and stenosis of anus with fistula",2020-10-13
Q423,"Congenital absence, atresia and stenosis of anus without fistula",2020-10-13
Q428,"Congenital absence, atresia and stenosis of other parts of large intestine",2020-10-13
Q429,"Congenital absence, atresia and stenosis of large intestine, part unspecified",2020-10-13
Q43,,2020-10-13
Q430,Meckel diverticulum,2020-10-13
Q431,Hirschsprung disease,2020-10-13
Q432,Other congenital functional disorders of colon,2020-10-13
Q433,Congenital malformations of intestinal fixation,2020-10-13
Q434,Duplication of intestine,2020-10-13
Q435,Ectopic anus,2020-10-13
Q436,Congenital fistula of rectum and anus,2020-10-13
Q437,Persistent cloaca,2020-10-13
Q438,Other specified congenital malformations of intestine,2020-10-13
Q439,"Congenital malformation of intestine, unspecified",2020-10-13
Q44,,2020-10-13
Q440,"Agenesis, aplasia and hypoplasia of gallbladder",2020-10-13
Q441,Other congenital malformations of gallbladder,2020-10-13
Q442,Atresia of bile ducts,2020-10-13
Q443,Congenital stenosis and stricture of bile ducts,2020-10-13
Q444,Choledochal cyst,2020-10-13
Q445,Other congenital malformations of bile ducts,2020-10-13
Q446,Cystic disease of liver,2020-10-13
Q447,Other congenital malformations of liver,2020-10-13
Q45,,2020-10-13
Q450,"Agenesis, aplasia and hypoplasia of pancreas",2020-10-13
Q451,Annular pancreas,2020-10-13
Q452,Congenital pancreatic cyst,2020-10-13
Q453,Other congenital malformations of pancreas and pancreatic duct,2020-10-13
Q458,Other specified congenital malformations of digestive system,2020-10-13
Q459,"Congenital malformation of digestive system, unspecified",2020-10-13
Q50,,2020-10-13
Q500,Congenital absence of ovary,2020-10-13
Q501,Developmental ovarian cyst,2020-10-13
Q502,Congenital torsion of ovary,2020-10-13
Q503,Other congenital malformations of ovary,2020-10-13
Q504,Embryonic cyst of fallopian tube,2020-10-13
Q505,Embryonic cyst of broad ligament,2020-10-13
Q506,Other congenital malformations of fallopian tube and broad ligament,2020-10-13
Q51,,2020-10-13
Q510,Agenesis and aplasia of uterus,2020-10-13
Q511,Doubling of uterus with doubling of cervix and vagina,2020-10-13
Q512,Other doubling of uterus,2020-10-13
Q513,Bicornate uterus,2020-10-13
Q514,Unicornate uterus,2020-10-13
Q515,Agenesis and aplasia of cervix,2020-10-13
Q516,Embryonic cyst of cervix,2020-10-13
Q517,Congenital fistulae between uterus and digestive and urinary tracts,2020-10-13
Q518,Other congenital malformations of uterus and cervix,2020-10-13
Q519,"Congenital malformation of uterus and cervix, unspecified",2020-10-13
Q52,,2020-10-13
Q520,Congenital absence of vagina,2020-10-13
Q521,Doubling of vagina,2020-10-13
Q522,Congenital rectovaginal fistula,2020-10-13
Q523,Imperforate hymen,2020-10-13
Q524,Other congenital malformations of vagina,2020-10-13
Q525,Fusion of labia,2020-10-13
Q526,Congenital malformation of clitoris,2020-10-13
Q527,Other congenital malformations of vulva,2020-10-13
Q528,Other specified congenital malformations of female genitalia,2020-10-13
Q529,"Congenital malformation of female genitalia, unspecified",2020-10-13
Q53,,2020-10-13
Q530,Ectopic testis,2020-10-13
Q531,"Undescended testicle, unilateral",2020-10-13
Q532,"Undescended testicle, bilateral",2020-10-13
Q539,"Undescended testicle, unspecified",2020-10-13
Q54,,2020-10-13
Q540,"Hypospadias, balanic",2020-10-13
Q541,"Hypospadias, penile",2020-10-13
Q542,"Hypospadias, penoscrotal",2020-10-13
Q543,"Hypospadias, perineal",2020-10-13
Q544,Congenital chordee,2020-10-13
Q548,Other hypospadias,2020-10-13
Q549,"Hypospadias, unspecified",2020-10-13
Q55,,2020-10-13
Q550,Absence and aplasia of testis,2020-10-13
Q551,Hypoplasia of testis and scrotum,2020-10-13
Q552,Other congenital malformations of testis and scrotum,2020-10-13
Q553,Atresia of vas deferens,2020-10-13
Q554,"Other congenital malformations of vas deferens, epididymis, seminal vesicles and prostate",2020-10-13
Q555,Congenital absence and aplasia of penis,2020-10-13
Q556,Other congenital malformations of penis,2020-10-13
Q558,Other specified congenital malformations of male genital organs,2020-10-13
Q559,"Congenital malformation of male genital organ, unspecified",2020-10-13
Q56,,2020-10-13
Q560,"Hermaphroditism, not elsewhere classified",2020-10-13
Q561,"Male pseudohermaphroditism, not elsewhere classified",2020-10-13
Q562,"Female pseudohermaphroditism, not elsewhere classified",2020-10-13
Q563,"Pseudohermaphroditism, unspecified",2020-10-13
Q564,"Indeterminate sex, unspecified",2020-10-13
Q60,,2020-10-13
Q600,"Renal agenesis, unilateral",2020-10-13
Q601,"Renal agenesis, bilateral",2020-10-13
Q602,"Renal agenesis, unspecified",2020-10-13
Q603,"Renal hypoplasia, unilateral",2020-10-13
Q604,"Renal hypoplasia, bilateral",2020-10-13
Q605,"Renal hypoplasia, unspecified",2020-10-13
Q606,Potter syndrome,2020-10-13
Q61,,2020-10-13
Q610,Congenital single renal cyst,2020-10-13
Q611,"Polycystic kidney, autosomal recessive",2020-10-13
Q612,"Polycystic kidney, autosomal dominant",2020-10-13
Q613,"Polycystic kidney, unspecified",2020-10-13
Q614,Renal dysplasia,2020-10-13
Q615,Medullary cystic kidney,2020-10-13
Q618,Other cystic kidney diseases,2020-10-13
Q619,"Cystic kidney disease, unspecified",2020-10-13
Q62,,2020-10-13
Q620,Congenital hydronephrosis,2020-10-13
Q621,Atresia and stenosis of ureter,2020-10-13
Q622,Congenital megaloureter,2020-10-13
Q623,Other obstructive defects of renal pelvis and ureter,2020-10-13
Q624,Agenesis of ureter,2020-10-13
Q625,Duplication of ureter,2020-10-13
Q626,Malposition of ureter,2020-10-13
Q627,Congenital vesico-uretero-renal reflux,2020-10-13
Q628,Other congenital malformations of ureter,2020-10-13
Q63,,2020-10-13
Q630,Accessory kidney,2020-10-13
Q631,"Lobulated, fused and horseshoe kidney",2020-10-13
Q632,Ectopic kidney,2020-10-13
Q633,Hyperplastic and giant kidney,2020-10-13
Q638,Other specified congenital malformations of kidney,2020-10-13
Q639,"Congenital malformation of kidney, unspecified",2020-10-13
Q64,,2020-10-13
Q640,Epispadias,2020-10-13
Q641,Exstrophy of urinary bladder,2020-10-13
Q642,Congenital posterior urethral valves,2020-10-13
Q643,Other atresia and stenosis of urethra and bladder neck,2020-10-13
Q644,Malformation of urachus,2020-10-13
Q645,Congenital absence of bladder and urethra,2020-10-13
Q646,Congenital diverticulum of bladder,2020-10-13
Q647,Other congenital malformations of bladder and urethra,2020-10-13
Q648,Other specified congenital malformations of urinary system,2020-10-13
